"Corps","Date","CompetitionDay","showID","Show","City","State"
"Raiders","2020-08-01",45,94,"Shoreman Brass Classic","Avon Lake","OH"
"Raiders","2020-08-03",47,99,"DCI Open Class Prelims","Marion","IN"
"River City Rhythm","2020-06-28",11,17,"River City Rhapsody – Rochester","Rochester","MN"
"River City Rhythm","2020-06-30",13,21,"The Northwoods Encore","Stevens Point","WI"
"River City Rhythm","2020-07-02",15,25,"Drums on Parade","Madison ","WI"
"River City Rhythm","2020-07-03",16,28,"Rotary Music Festival","Cedarburg","WI"
"River City Rhythm","2020-07-05",18,31,"DCI La Crosse","La Crosse","WI"
"River City Rhythm","2020-07-07",20,34,"The Thunder of Drums","Mankato","MN"
"River City Rhythm","2020-07-08",21,37,"Celebration in Brass","Ankeny","IA"
"River City Rhythm","2020-07-13",26,53,"Brass Impact","Olathe","KS"
"River City Rhythm","2020-07-25",38,76,"Drums Along the Mississippi","Cape Girardeau","MO"
"River City Rhythm","2020-07-27",40,80,"DCI Shoreline Classic","Storm Lake","IA"
"River City Rhythm","2020-07-29",42,85,"March On!","Farmington","MN"
"River City Rhythm","2020-07-31",44,89,"Tournament of Drums","Cedar Rapids","IA"
"River City Rhythm","2020-08-01",45,93,"DCI Eastern Illinois","Charleston","IL"
"River City Rhythm","2020-08-03",47,99,"DCI Open Class Prelims","Marion","IN"
"Santa Clara Vanguard","2020-06-19",2,2,"MidCal Champions Showcase","Clovis","CA"
"Santa Clara Vanguard","2020-06-20",3,4,"DCI West","Stanford","CA"
"Santa Clara Vanguard","2020-06-21",4,7,"DCI Capital Classic","Sacramento","CA"
"Santa Clara Vanguard","2020-06-26",9,12,"Corps at the Crest – San Diego","Vista","CA"
"Santa Clara Vanguard","2020-06-27",10,15,"Drum Corps at the Rose Bowl","Pasadena","CA"
"Santa Clara Vanguard","2020-06-28",11,19,"Western Corps Connection","San Bernadino","CA"
"Santa Clara Vanguard","2020-07-02",15,24,"Rogue DCI","TBD","OR"
"Santa Clara Vanguard","2020-07-03",16,27,"Drums of Fire","Camas","WA"
"Santa Clara Vanguard","2020-07-05",18,30,"Seattle Summer Music Games","Renton","WA"
"Santa Clara Vanguard","2020-07-07",20,33,"Drums Along the Columbia","Tri Cities","WA"
"Santa Clara Vanguard","2020-07-08",21,36,"Drums Along the Rockies – Boise Edition","Boise","ID"
"Santa Clara Vanguard","2020-07-10",23,41,"Corps Encore","Ogden","UT"
"Santa Clara Vanguard","2020-07-12",25,50,"Drums Along the Rockies ","Denver","CO"
"Santa Clara Vanguard","2020-07-14",27,55,"DCI Broken Arrow","Broken Arrow","OK"
"Santa Clara Vanguard","2020-07-16",29,57,"DCI Denton","Denton","TX"
"Santa Clara Vanguard","2020-07-18",31,62,"DCI Corpus Christi","Corpus Christi","TX"
"Santa Clara Vanguard","2020-07-21",34,68,"DCI McKinney","McKinney","TX"
"Santa Clara Vanguard","2020-07-24",37,75,"The Masters of the Summer Music Games","Murfeesboro","TN"
"Santa Clara Vanguard","2020-07-25",38,78,"DCI Southeastern Championship","Atlanta","GA"
"Santa Clara Vanguard","2020-07-26",39,79,"NightBEAT","Winston-Salem","NC"
"Santa Clara Vanguard","2020-07-29",42,87,"Drum Corps: An American Tradition – Annapolis","Annapolis","MD"
"Santa Clara Vanguard","2020-08-01",45,92,"DCI Eastern Classic","Allentown","PA"
"Santa Clara Vanguard","2020-08-03",47,98,"Tour of Champions – Akron","Akron","OH"
"Seattle Cascades","2020-07-02",15,24,"Rogue DCI","TBD","OR"
"Seattle Cascades","2020-07-03",16,27,"Drums of Fire","Camas","WA"
"Seattle Cascades","2020-07-05",18,30,"Seattle Summer Music Games","Renton","WA"
"Seattle Cascades","2020-07-07",20,33,"Drums Along the Columbia","Tri Cities","WA"
"Seattle Cascades","2020-07-08",21,36,"Drums Along the Rockies – Boise Edition","Boise","ID"
"Seattle Cascades","2020-07-10",23,41,"Corps Encore","Ogden","UT"
"Seattle Cascades","2020-07-11",24,45,"Drums Along the Rockies – Casper Edition","Casper","WY"
"Seattle Cascades","2020-07-14",27,54,"DCI Ardmore","Ardmore","OK"
"Seattle Cascades","2020-07-16",29,56,"DCI Austin","Austin","TX"
"Seattle Cascades","2020-07-18",31,63,"DCI San Antonio","San Antonio","TX"
"Seattle Cascades","2020-07-20",33,66,"DCI Mesquite","Mesquite","TX"
"Seattle Cascades","2020-07-22",35,69,"DCI Little Rock","Little Rock","AR"
"Seattle Cascades","2020-07-23",36,72,"DCI Opelika","Opelika","AL"
"Seattle Cascades","2020-07-24",37,74,"DCI Birmingham","Trussville","AL"
"Seattle Cascades","2020-07-25",38,78,"DCI Southeastern Championship","Atlanta","GA"
"Seattle Cascades","2020-07-27",40,81,"Drums Across the Tri-State","Charleston","WV"
"Seattle Cascades","2020-07-30",43,88,"DCI Syracuse","Syracuse","NY"
"Seattle Cascades","2020-07-31",44,91,"DCI Eastern Classic","Allentown","PA"
"Seattle Cascades","2020-08-03",47,97,"Lake Erie Fanfare","Edinboro","PA"
"Shadow","2020-07-02",15,25,"Drums on Parade","Madison ","WI"
"Shadow","2020-07-03",16,28,"Rotary Music Festival","Cedarburg","WI"
"Shadow","2020-07-05",18,31,"DCI La Crosse","La Crosse","WI"
"Shadow","2020-07-07",20,34,"The Thunder of Drums","Mankato","MN"
"Shadow","2020-07-11",24,47,"DCI Memphis","Memphis","TN"
"Shadow","2020-07-12",25,51,"DCI Midwestern Championship","St. Louis","MO"
"Shadow","2020-07-25",38,77,"Legends Drum Corps Invitational","White Lake","MI"
"Shadow","2020-07-27",40,81,"Drums Across the Tri-State","Charleston","WV"
"Shadow","2020-07-29",42,86,"Rock River Brass","Rock Falls","IL"
"Shadow","2020-07-31",44,90,"Legends Drum Corps Open","Plainwell","MI"
"Shadow","2020-08-01",45,94,"Shoreman Brass Classic","Avon Lake","OH"
"Shadow","2020-08-03",47,99,"DCI Open Class Prelims","Marion","IN"
"Southwind","2020-07-07",20,35,"Drums Across America","Statesboro","GA"
"Southwind","2020-07-09",22,38,"Drums Across the Smokies","Knoxville","TN"
"Southwind","2020-07-10",23,39,"TBD – Northern Alabama","TBD","AL"
"Southwind","2020-07-11",24,43,"Drums Across the River Region","Milbrook","AL"
"Southwind","2020-07-12",25,48,"Atlanta Brass Classic","Hiram","GA"
"Southwind","2020-07-23",36,72,"DCI Opelika","Opelika","AL"
"Southwind","2020-07-24",37,74,"DCI Birmingham","Trussville","AL"
"Southwind","2020-07-25",38,76,"Drums Along the Mississippi","Cape Girardeau","MO"
"Southwind","2020-07-27",40,80,"DCI Shoreline Classic","Storm Lake","IA"
"Southwind","2020-07-29",42,86,"Rock River Brass","Rock Falls","IL"
"Southwind","2020-07-31",44,90,"Legends Drum Corps Open","Plainwell","MI"
"Southwind","2020-08-01",45,94,"Shoreman Brass Classic","Avon Lake","OH"
"Southwind","2020-08-03",47,99,"DCI Open Class Prelims","Marion","IN"
"Spartans","2020-06-27",10,16,"East Coast Classic","Chestnut Hill","MA"
"Spartans","2020-06-28",11,18,"The Beanpot","Lynn","MA"
"Spartans","2020-07-02",15,23,"TBD – Virginia","Richmond","VA"
"Spartans","2020-07-03",16,29,"CrownBEAT","Lexington","SC"
"Spartans","2020-07-05",18,32,"DCI Orlando","Orlando","FL"
"Spartans","2020-07-18",31,61,"DCI New Hampshire","Nashua","NH"
"Spartans","2020-07-24",37,73,"Music on the Mountain","Sheffield","PA"
"Spartans","2020-07-25",38,77,"Legends Drum Corps Invitational","White Lake","MI"
"Spartans","2020-07-27",40,82,"Soaring Sounds","Centerville","OH"
"Spartans","2020-07-29",42,86,"Rock River Brass","Rock Falls","IL"
"Spartans","2020-07-31",44,90,"Legends Drum Corps Open","Plainwell","MI"
"Spartans","2020-08-01",45,94,"Shoreman Brass Classic","Avon Lake","OH"
"Spartans","2020-08-03",47,99,"DCI Open Class Prelims","Marion","IN"
"Spirit of Atlanta","2020-06-23",6,9,"Summer Music Games in Cincinnati","Hamilton","OH"
"Spirit of Atlanta","2020-06-24",7,10,"Innovations in Brass: Pittsburgh","Pittsburgh","PA"
"Spirit of Atlanta","2020-06-26",9,11,"DCI Central Indiana","Muncie","IN"
"Spirit of Atlanta","2020-06-26",9,13,"Drum Corps: An American Tradition – Allentown","Allentown","PA"
"Spirit of Atlanta","2020-06-27",10,16,"East Coast Classic","Chestnut Hill","MA"
"Spirit of Atlanta","2020-06-28",11,18,"The Beanpot","Lynn","MA"
"Spirit of Atlanta","2020-06-30",13,22,"TDB – Philadelphia","Philadelphia","PA"
"Spirit of Atlanta","2020-07-02",15,23,"TBD – Virginia","Richmond","VA"
"Spirit of Atlanta","2020-07-03",16,29,"CrownBEAT","Lexington","SC"
"Spirit of Atlanta","2020-07-05",18,32,"DCI Orlando","Orlando","FL"
"Spirit of Atlanta","2020-07-07",20,35,"Drums Across America","Statesboro","GA"
"Spirit of Atlanta","2020-07-09",22,38,"Drums Across the Smokies","Knoxville","TN"
"Spirit of Atlanta","2020-07-11",24,47,"DCI Memphis","Memphis","TN"
"Spirit of Atlanta","2020-07-12",25,51,"DCI Midwestern Championship","St. Louis","MO"
"Spirit of Atlanta","2020-07-13",26,52,"Drums Across Kansas","El Dorado","KS"
"Spirit of Atlanta","2020-07-16",29,56,"DCI Austin","Austin","TX"
"Spirit of Atlanta","2020-07-18",31,62,"DCI Corpus Christi","Corpus Christi","TX"
"Spirit of Atlanta","2020-07-20",33,65,"Drums Across Cajun Field","Lafayette","LA"
"Spirit of Atlanta","2020-07-22",35,70,"DCI Southern Mississippi","Hattiesburg","MS"
"Spirit of Atlanta","2020-07-23",36,72,"DCI Opelika","Opelika","AL"
"Spirit of Atlanta","2020-07-25",38,78,"DCI Southeastern Championship","Atlanta","GA"
"Spirit of Atlanta","2020-07-27",40,82,"Soaring Sounds","Centerville","OH"
"Spirit of Atlanta","2020-07-30",43,88,"DCI Syracuse","Syracuse","NY"
"Spirit of Atlanta","2020-07-31",44,91,"DCI Eastern Classic","Allentown","PA"
"Spirit of Atlanta","2020-08-02",46,96,"Drums Along the Waterfront","Buffalo","NY"
"Spirit of Atlanta","2020-08-03",47,97,"Lake Erie Fanfare","Edinboro","PA"
"The Academy","2020-06-19",2,2,"MidCal Champions Showcase","Clovis","CA"
"The Academy","2020-06-20",3,4,"DCI West","Stanford","CA"
"The Academy","2020-06-21",4,7,"DCI Capital Classic","Sacramento","CA"
"The Academy","2020-06-26",9,12,"Corps at the Crest – San Diego","Vista","CA"
"The Academy","2020-06-27",10,15,"Drum Corps at the Rose Bowl","Pasadena","CA"
"The Academy","2020-06-28",11,19,"Western Corps Connection","San Bernadino","CA"
"The Academy","2020-06-29",12,20,"Drums Across the Desert","Mesta","AZ"
"The Academy","2020-07-02",15,24,"Rogue DCI","TBD","OR"
"The Academy","2020-07-03",16,27,"Drums of Fire","Camas","WA"
"The Academy","2020-07-05",18,30,"Seattle Summer Music Games","Renton","WA"
"The Academy","2020-07-07",20,33,"Drums Along the Columbia","Tri Cities","WA"
"The Academy","2020-07-08",21,36,"Drums Along the Rockies – Boise Edition","Boise","ID"
"The Academy","2020-07-10",23,41,"Corps Encore","Ogden","UT"
"The Academy","2020-07-11",24,45,"Drums Along the Rockies – Casper Edition","Casper","WY"
"The Academy","2020-07-12",25,50,"Drums Along the Rockies ","Denver","CO"
"The Academy","2020-07-14",27,54,"DCI Ardmore","Ardmore","OK"
"The Academy","2020-07-16",29,57,"DCI Denton","Denton","TX"
"The Academy","2020-07-18",31,62,"DCI Corpus Christi","Corpus Christi","TX"
"The Academy","2020-07-21",34,68,"DCI McKinney","McKinney","TX"
"The Academy","2020-07-22",35,69,"DCI Little Rock","Little Rock","AR"
"The Academy","2020-07-23",36,72,"DCI Opelika","Opelika","AL"
"The Academy","2020-07-25",38,78,"DCI Southeastern Championship","Atlanta","GA"
"The Academy","2020-07-27",40,82,"Soaring Sounds","Centerville","OH"
"The Academy","2020-07-31",44,91,"DCI Eastern Classic","Allentown","PA"
"The Academy","2020-08-02",46,95,"DCI Pittsburgh","Pittsburgh","PA"
"The Battalion","2020-07-10",23,41,"Corps Encore","Ogden","UT"
"The Battalion","2020-07-21",34,67,"Drums Along the Wasatch","Salt Lake City","UT"
"The Battalion","2020-07-23",36,71,"Mile High Showcase","Denver","CO"
"The Battalion","2020-07-25",38,76,"Drums Along the Mississippi","Cape Girardeau","MO"
"The Battalion","2020-07-27",40,80,"DCI Shoreline Classic","Storm Lake","IA"
"The Battalion","2020-07-29",42,85,"March On!","Farmington","MN"
"The Battalion","2020-07-31",44,89,"Tournament of Drums","Cedar Rapids","IA"
"The Battalion","2020-08-01",45,93,"DCI Eastern Illinois","Charleston","IL"
"The Battalion","2020-08-03",47,99,"DCI Open Class Prelims","Marion","IN"
"The Cadets","2020-06-26",9,13,"Drum Corps: An American Tradition – Allentown","Allentown","PA"
"The Cadets","2020-06-27",10,16,"East Coast Classic","Chestnut Hill","MA"
"The Cadets","2020-06-28",11,18,"The Beanpot","Lynn","MA"
"The Cadets","2020-06-30",13,22,"TDB – Philadelphia","Philadelphia","PA"
"The Cadets","2020-07-09",22,38,"Drums Across the Smokies","Knoxville","TN"
"The Cadets","2020-07-11",24,47,"DCI Memphis","Memphis","TN"
"The Cadets","2020-07-12",25,51,"DCI Midwestern Championship","St. Louis","MO"
"The Cadets","2020-07-13",26,52,"Drums Across Kansas","El Dorado","KS"
"The Cadets","2020-07-16",29,57,"DCI Denton","Denton","TX"
"The Cadets","2020-07-18",31,63,"DCI San Antonio","San Antonio","TX"
"The Cadets","2020-07-20",33,65,"Drums Across Cajun Field","Lafayette","LA"
"The Cadets","2020-07-22",35,70,"DCI Southern Mississippi","Hattiesburg","MS"
"The Cadets","2020-07-25",38,78,"DCI Southeastern Championship","Atlanta","GA"
"The Cadets","2020-07-26",39,79,"NightBEAT","Winston-Salem","NC"
"The Cadets","2020-07-28",41,83,"Drum Corps: An American Tradition","TBA","PA, NC"
"The Cadets","2020-07-29",42,87,"Drum Corps: An American Tradition – Annapolis","Annapolis","MD"
"The Cadets","2020-07-31",44,91,"DCI Eastern Classic","Allentown","PA"
"The Cadets","2020-08-02",46,96,"Drums Along the Waterfront","Buffalo","NY"
"The Cavaliers","2020-06-18",1,1,"DCI Tour Premier","Detroit","MI"
"The Cavaliers","2020-06-20",3,3,"Whitewater Classic","Whitewater","WI"
"The Cavaliers","2020-06-22",5,8,"Drums on the Ohio","Evansville","IN"
"The Cavaliers","2020-06-23",6,9,"Summer Music Games in Cincinnati","Hamilton","OH"
"The Cavaliers","2020-06-26",9,11,"DCI Central Indiana","Muncie","IN"
"The Cavaliers","2020-06-30",13,21,"The Northwoods Encore","Stevens Point","WI"
"The Cavaliers","2020-07-02",15,25,"Drums on Parade","Madison ","WI"
"The Cavaliers","2020-07-03",16,26,"Cavalcade of Brass","Lisle","IL"
"The Cavaliers","2020-07-05",18,31,"DCI La Crosse","La Crosse","WI"
"The Cavaliers","2020-07-10",23,42,"Music on the March","Dubuque","IA"
"The Cavaliers","2020-07-11",24,46,"Tour of Champions – Northern Illinois","DeKalb","IL"
"The Cavaliers","2020-07-12",25,51,"DCI Midwestern Championship","St. Louis","MO"
"The Cavaliers","2020-07-14",27,55,"DCI Broken Arrow","Broken Arrow","OK"
"The Cavaliers","2020-07-16",29,56,"DCI Austin","Austin","TX"
"The Cavaliers","2020-07-17",30,59,"DCI Houston","Houston","TX"
"The Cavaliers","2020-07-18",31,63,"DCI San Antonio","San Antonio","TX"
"The Cavaliers","2020-07-20",33,66,"DCI Mesquite","Mesquite","TX"
"The Cavaliers","2020-07-22",35,70,"DCI Southern Mississippi","Hattiesburg","MS"
"The Cavaliers","2020-07-24",37,75,"The Masters of the Summer Music Games","Murfeesboro","TN"
"The Cavaliers","2020-07-25",38,78,"DCI Southeastern Championship","Atlanta","GA"
"The Cavaliers","2020-07-26",39,79,"NightBEAT","Winston-Salem","NC"
"The Cavaliers","2020-07-27",40,82,"Soaring Sounds","Centerville","OH"
"The Cavaliers","2020-07-29",42,87,"Drum Corps: An American Tradition – Annapolis","Annapolis","MD"
"The Cavaliers","2020-07-31",44,91,"DCI Eastern Classic","Allentown","PA"
"The Cavaliers","2020-08-02",46,96,"Drums Along the Waterfront","Buffalo","NY"
"The Cavaliers","2020-08-03",47,98,"Tour of Champions – Akron","Akron","OH"
"Troopers","2020-06-20",3,3,"Whitewater Classic","Whitewater","WI"
"Troopers","2020-06-22",5,8,"Drums on the Ohio","Evansville","IN"
"Troopers","2020-06-23",6,9,"Summer Music Games in Cincinnati","Hamilton","OH"
"Troopers","2020-06-27",10,14,"Show of Shows","Rockford","IL"
"Troopers","2020-06-28",11,17,"River City Rhapsody – Rochester","Rochester","MN"
"Troopers","2020-06-30",13,21,"The Northwoods Encore","Stevens Point","WI"
"Troopers","2020-07-02",15,25,"Drums on Parade","Madison ","WI"
"Troopers","2020-07-03",16,26,"Cavalcade of Brass","Lisle","IL"
"Troopers","2020-07-05",18,31,"DCI La Crosse","La Crosse","WI"
"Troopers","2020-07-11",24,45,"Drums Along the Rockies – Casper Edition","Casper","WY"
"Troopers","2020-07-12",25,50,"Drums Along the Rockies ","Denver","CO"
"Troopers","2020-07-16",29,56,"DCI Austin","Austin","TX"
"Troopers","2020-07-18",31,62,"DCI Corpus Christi","Corpus Christi","TX"
"Troopers","2020-07-20",33,65,"Drums Across Cajun Field","Lafayette","LA"
"Troopers","2020-07-22",35,70,"DCI Southern Mississippi","Hattiesburg","MS"
"Troopers","2020-07-23",36,72,"DCI Opelika","Opelika","AL"
"Troopers","2020-07-24",37,74,"DCI Birmingham","Trussville","AL"
"Troopers","2020-07-25",38,78,"DCI Southeastern Championship","Atlanta","GA"
"Troopers","2020-07-28",41,83,"Drum Corps: An American Tradition","TBA","PA, NC"
"Troopers","2020-07-30",43,88,"DCI Syracuse","Syracuse","NY"
"Troopers","2020-08-01",45,92,"DCI Eastern Classic","Allentown","PA"
"Troopers","2020-08-02",46,95,"DCI Pittsburgh","Pittsburgh","PA"
"Vanguard Cadets","2020-06-19",2,2,"MidCal Champions Showcase","Clovis","CA"
"Vanguard Cadets","2020-06-20",3,4,"DCI West","Stanford","CA"
"Vanguard Cadets","2020-06-21",4,7,"DCI Capital Classic","Sacramento","CA"
"Vanguard Cadets","2020-07-11",24,44,"Gold Showcase","Vista","CA"
"Vanguard Cadets","2020-07-12",25,49,"So Cal Classic","Bellflower","CA"
"Vanguard Cadets","2020-07-18",31,60,"Sounds of the Silicon Valley","TBD","CA"
"Vanguard Cadets","2020-07-19",32,64,"Diablo Valley Classic Pacific Open Class Championship","Pittsburg ","CA"
"Vessel","2020-06-26",9,12,"Corps at the Crest – San Diego","Vista","CA"
"Vessel","2020-06-27",10,15,"Drum Corps at the Rose Bowl","Pasadena","CA"
"Vessel","2020-06-28",11,19,"Western Corps Connection","San Bernadino","CA"
"Vessel","2020-06-29",12,20,"Drums Across the Desert","Mesta","AZ"
"Vessel","2020-07-10",23,40,"Riverside Open","Riverside","CA"
"Vessel","2020-07-11",24,44,"Gold Showcase","Vista","CA"
"Vessel","2020-07-12",25,49,"So Cal Classic","Bellflower","CA"
"Vessel","2020-07-17",30,58,"Resound","Bakersfield","CA"
"Vessel","2020-07-18",31,60,"Sounds of the Silicon Valley","TBD","CA"
"Vessel","2020-07-19",32,64,"Diablo Valley Classic Pacific Open Class Championship","Pittsburg ","CA"
"Watchmen","2020-06-26",9,12,"Corps at the Crest – San Diego","Vista","CA"
"Watchmen","2020-06-27",10,15,"Drum Corps at the Rose Bowl","Pasadena","CA"
"Watchmen","2020-06-28",11,19,"Western Corps Connection","San Bernadino","CA"
"Watchmen","2020-07-10",23,40,"Riverside Open","Riverside","CA"
"Watchmen","2020-07-11",24,44,"Gold Showcase","Vista","CA"
"Watchmen","2020-07-12",25,49,"So Cal Classic","Bellflower","CA"
"Watchmen","2020-07-17",30,58,"Resound","Bakersfield","CA"
"Watchmen","2020-07-18",31,60,"Sounds of the Silicon Valley","TBD","CA"
"Watchmen","2020-07-19",32,64,"Diablo Valley Classic Pacific Open Class Championship","Pittsburg ","CA"
"Watchmen","2020-07-21",34,67,"Drums Along the Wasatch","Salt Lake City","UT"
"Watchmen","2020-07-23",36,71,"Mile High Showcase","Denver","CO"
